FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
204, 833, 444, 25, 91, 1160, 6485, 4219, 13260
205, 844, 1566, 2167, 495, 1155, 6094, 4243, 16566
206, 770, 447, 20, 88, 1031, 6026, 3936, 12320
207, 836, 1685, 2493, 566, 1004, 6222, 4547, 17355
208, 791, 423, 19, 96, 954, 6129, 4052, 12465
209, 1186, 1597, 2156, 482, 995, 6341, 4513, 17272
210, 881, 440, 27, 90, 976, 5513, 4159, 12087
211, 1337, 1775, 2014, 357, 835, 4244, 3541, 14106
212, 1141, 436, 26, 146, 936, 4648, 3557, 10891
213, 906, 1964, 1910, 359, 810, 4150, 3884, 13984
214, 869, 541, 33, 111, 850, 4615, 3729, 10749
215, 892, 1963, 1936, 394, 829, 4184, 3707, 13907
216, 995, 447, 27, 85, 887, 4715, 3636, 10795
217, 918, 1968, 2021, 486, 856, 4204, 3636, 14091
218, 978, 526, 23, 83, 905, 4549, 3559, 10625
219, 907, 1904, 1896, 433, 808, 4209, 3758, 13917
220, 940, 534, 28, 103, 786, 4598, 3687, 10678
221, 911, 1790, 2049, 455, 801, 4182, 3944, 14134
222, 905, 500, 29, 82, 855, 4734, 3555, 10663
223, 906, 1865, 2954, 418, 824, 4771, 3618, 15358
224, 669, 407, 15, 103, 898, 4464, 3947, 10505
225, 959, 1314, 1835, 403, 792, 4235, 3576, 13116
226, 972, 506, 24, 105, 775, 4571, 3601, 10557
227, 939, 1661, 57, 119, 839, 4301, 3655, 11574
228, 992, 132, 19, 76, 833, 4266, 3923, 10243
229, 861, 130, 12, 177, 857, 4380, 3759, 10178
230, 895, 136, 11, 96, 806, 4427, 3709, 10082
231, 898, 130, 11, 133, 798, 4412, 3659, 10043
232, 833, 139, 11, 90, 803, 4373, 3808, 10059
233, 875, 134, 18, 83, 816, 4345, 4287, 10560
234, 931, 134, 12, 80, 967, 4649, 3668, 10443
235, 941, 136, 11, 88, 802, 4458, 3781, 10219
236, 897, 132, 9, 83, 860, 4434, 4210, 10628
237, 892, 127, 11, 108, 968, 4418, 3770, 10296
238, 1019, 104, 12, 67, 800, 4469, 3605, 10077
239, 799, 127, 13, 89, 798, 4435, 3768, 10031
240, 946, 129, 11, 94, 838, 4551, 3782, 10352
241, 1031, 133, 11, 79, 804, 4532, 3741, 10334
242, 892, 147, 11, 87, 808, 4326, 3857, 10130
243, 759, 135, 9, 86, 902, 4525, 3641, 10059
244, 774, 129, 10, 87, 835, 4552, 3832, 10221
245, 878, 137, 10, 83, 805, 4317, 3774, 10006
246, 880, 506, 31, 89, 940, 4511, 3641, 10601
247, 793, 1903, 2363, 427, 789, 4304, 3634, 14215
248, 906, 514, 28, 90, 778, 4603, 3586, 10507
249, 929, 1834, 2493, 456, 792, 4171, 3573, 14249
250, 927, 495, 24, 99, 827, 4711, 3683, 10768
251, 1132, 1725, 2077, 438, 792, 4138, 3827, 14132
252, 1032, 495, 29, 83, 863, 4721, 3547, 10772
253, 871, 1729, 57, 116, 812, 4248, 4092, 11927
254, 920, 142, 11, 84, 808, 4383, 3725, 10074
255, 904, 134, 11, 80, 810, 4330, 3676, 9948
