FrameID, Prepare, Placement, Opacity, Upload, Render, Total
241, 1011, 145, 43, 310, 10765, 12277
242, 984, 172, 16, 269, 10858, 12301
243, 1014, 171, 16, 303, 11022, 12528
244, 1002, 384, 19, 238, 10927, 12572
245, 988, 174, 16, 283, 10971, 12434
246, 970, 174, 16, 275, 10688, 12125
247, 1056, 168, 16, 439, 10589, 12269
248, 966, 171, 16, 270, 10601, 12027
249, 1175, 733, 51, 285, 10627, 12874
250, 996, 1939, 2718, 539, 11475, 17668
251, 862, 465, 25, 96, 11648, 13098
252, 1175, 1674, 2366, 620, 11659, 17496
253, 832, 509, 26, 95, 11291, 12754
254, 1059, 1835, 2379, 551, 12594, 18419
255, 810, 453, 17, 93, 11690, 13065
256, 1187, 1643, 3063, 780, 11829, 18506
257, 842, 461, 21, 94, 11983, 13402
258, 865, 1685, 2125, 972, 11619, 17268
259, 951, 556, 2013, 376, 10134, 14030
260, 773, 1624, 2057, 489, 10919, 15865
261, 772, 552, 24, 92, 9127, 10569
262, 931, 1924, 1923, 497, 9055, 14332
263, 871, 608, 33, 109, 9324, 10947
264, 1404, 1616, 1945, 521, 9520, 15007
265, 871, 420, 16, 102, 8881, 10292
266, 689, 1937, 1764, 342, 8947, 13681
267, 748, 433, 18, 120, 9678, 11000
268, 950, 1936, 1992, 485, 9502, 14867
269, 915, 503, 45, 91, 9179, 10735
270, 898, 1900, 1898, 441, 8698, 13836
271, 891, 506, 22, 97, 9060, 10577
272, 956, 1923, 1998, 467, 8575, 13921
273, 807, 537, 29, 110, 9610, 11094
274, 908, 1831, 1893, 439, 8774, 13847
275, 866, 522, 27, 99, 9238, 10754
276, 892, 1946, 2970, 482, 9067, 15359
277, 1083, 437, 24, 87, 9107, 10740
278, 933, 1897, 1945, 477, 8666, 13919
279, 1032, 768, 40, 315, 8837, 10994
280, 1057, 1978, 2073, 675, 8840, 14624
281, 1042, 564, 129, 748, 9664, 12149
282, 993, 1929, 2054, 558, 9081, 14617
283, 1239, 592, 191, 401, 9928, 12353
284, 1920, 1482, 2598, 530, 10336, 16868
285, 859, 423, 20, 82, 8953, 10339
286, 978, 1780, 1868, 550, 8683, 13860
287, 955, 630, 27, 87, 9144, 10845
288, 906, 1907, 1903, 472, 8653, 13843
289, 961, 573, 27, 85, 8930, 10578
290, 1181, 1616, 1922, 503, 9346, 14571
291, 963, 822, 35, 92, 9083, 10997
292, 942, 1853, 2246, 722, 8579, 14344
293, 989, 591, 35, 91, 9101, 10808
294, 1003, 1961, 1838, 478, 9108, 14390
295, 888, 557, 30, 89, 9032, 10598
296, 938, 1960, 2031, 533, 8636, 14100
297, 968, 569, 29, 82, 9780, 11430
298, 832, 1925, 2264, 647, 8530, 14201
299, 928, 582, 29, 85, 9139, 10765
300, 950, 1948, 1871, 511, 8703, 13984
301, 978, 572, 27, 86, 9095, 10759
302, 909, 2044, 2041, 534, 8764, 14293
303, 1178, 457, 45, 84, 8925, 10692
304, 902, 1869, 2492, 659, 8609, 14533
305, 1059, 556, 28, 86, 9496, 11227
306, 895, 1947, 1939, 498, 8683, 13963
307, 935, 568, 31, 98, 8927, 10562
308, 917, 1939, 2997, 625, 9758, 16237
309, 979, 734, 35, 121, 8949, 10820
310, 985, 1857, 1966, 478, 8999, 14286
311, 925, 676, 504, 431, 9670, 12207
312, 934, 1923, 2213, 569, 9430, 15071
313, 965, 521, 27, 477, 9737, 11729
314, 1051, 1906, 1953, 510, 9392, 14813
315, 929, 618, 28, 285, 8885, 10748
316, 1153, 1630, 4092, 526, 9749, 17151
317, 824, 435, 18, 86, 8914, 10279
318, 929, 1930, 1868, 581, 8692, 14003
319, 917, 552, 29, 85, 9032, 10616
320, 952, 1968, 1951, 500, 9077, 14450
321, 931, 572, 31, 87, 9047, 10669
322, 946, 1865, 1937, 594, 8782, 14127
323, 956, 550, 28, 100, 9137, 10773
324, 939, 1827, 1974, 507, 9072, 14321
325, 781, 442, 21, 100, 9458, 10804
326, 740, 1795, 1793, 343, 9229, 13901
327, 774, 434, 17, 165, 9488, 10881
328, 952, 1797, 5010, 513, 9608, 17882
329, 835, 419, 21, 99, 9089, 10465
330, 1014, 1946, 2496, 495, 8733, 14686
331, 1074, 575, 25, 89, 9097, 10861
332, 1115, 1830, 2048, 503, 8794, 14292
333, 1064, 743, 33, 99, 8800, 10740
334, 892, 1928, 3143, 510, 9296, 15771
335, 950, 495, 230, 102, 9581, 11360
336, 1051, 1937, 1943, 522, 8752, 14207
337, 906, 552, 25, 95, 9162, 10742
338, 960, 1891, 2007, 494, 9139, 14494
339, 964, 548, 29, 94, 9140, 10776
340, 907, 1937, 2014, 542, 8832, 14234
341, 895, 548, 28, 97, 9201, 10771
342, 1240, 1801, 2033, 497, 10005, 15578
