FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
674, 2659, 0, 0, 256, 0, 3041, 5256, 11213
675, 3340, 0, 0, 199, 0, 2415, 4125, 10079
676, 2143, 0, 0, 521, 0, 2108, 4196, 8968
677, 2074, 0, 0, 470, 0, 2137, 4163, 8844
678, 2404, 0, 0, 160, 0, 1654, 2851, 7070
679, 2512, 0, 0, 166, 0, 1297, 3541, 7517
680, 1998, 0, 0, 665, 0, 1438, 3064, 7166
681, 1985, 0, 0, 846, 0, 1618, 3142, 7592
682, 2491, 0, 0, 8370, 0, 1633, 2999, 15495
683, 2716, 0, 0, 8438, 0, 2424, 3534, 17113
684, 1862, 0, 0, 7839, 0, 2264, 3012, 14977
685, 1879, 0, 0, 7756, 0, 1658, 2872, 14165
686, 2096, 0, 0, 7639, 0, 1303, 2915, 13954
687, 2437, 0, 0, 7817, 0, 1546, 3461, 15261
688, 2387, 0, 0, 7953, 0, 1811, 3209, 15361
689, 2917, 0, 0, 6808, 0, 942, 2228, 12895
690, 2568, 0, 0, 6092, 0, 937, 2110, 11708
691, 1920, 0, 0, 15619, 0, 1140, 3076, 21756
692, 2015, 0, 0, 5129, 0, 1187, 2781, 11113
693, 1747, 0, 0, 6394, 0, 966, 1971, 11079
694, 1921, 0, 0, 6382, 0, 845, 2450, 11599
695, 2680, 0, 0, 4893, 0, 887, 3603, 12063
696, 3058, 0, 0, 5379, 0, 939, 3735, 13111
697, 3725, 0, 0, 6492, 0, 958, 16111, 27288
698, 1525, 0, 0, 6589, 0, 846, 2444, 11406
699, 1721, 0, 0, 6610, 0, 1496, 2265, 12093
700, 1570, 0, 0, 6425, 0, 840, 2201, 11037
701, 2557, 0, 0, 4331, 0, 1156, 1895, 9940
702, 2302, 0, 0, 5135, 0, 974, 1965, 10377
703, 2824, 0, 0, 4713, 0, 1121, 2126, 10785
704, 3124, 0, 0, 4031, 0, 912, 2416, 10484
705, 2197, 0, 0, 3781, 0, 1027, 2058, 9065
706, 2404, 0, 0, 4914, 0, 840, 2048, 10207
707, 2163, 0, 0, 5181, 0, 912, 1878, 10135
708, 2101, 0, 0, 5104, 0, 843, 1878, 9928
709, 2273, 0, 0, 5131, 0, 834, 2144, 10382
710, 2222, 0, 0, 5132, 0, 1079, 2031, 10464
711, 1912, 0, 0, 5301, 0, 828, 1932, 9973
712, 1894, 0, 0, 5307, 0, 838, 2098, 10137
713, 2539, 0, 0, 4171, 0, 1256, 2090, 10058
714, 1991, 0, 0, 5221, 0, 925, 2113, 10252
715, 2550, 0, 0, 4455, 0, 929, 2029, 9964
716, 2258, 0, 0, 4714, 0, 932, 2301, 10205
717, 2501, 0, 0, 4498, 0, 433, 1559, 8993
718, 2183, 0, 0, 1477, 0, 431, 1841, 5933
719, 1968, 0, 0, 3579, 0, 872, 1754, 8174
720, 3215, 0, 0, 1925, 0, 539, 1650, 7330
721, 2591, 0, 0, 2477, 0, 614, 1800, 7483
722, 2907, 0, 0, 2171, 0, 707, 2134, 7919
723, 2644, 0, 0, 2272, 0, 660, 1424, 7000
724, 1930, 0, 0, 1383, 0, 536, 1463, 5313
725, 2730, 0, 0, 2368, 0, 542, 1420, 7061
726, 2277, 0, 0, 1635, 0, 1340, 1435, 6688
727, 3261, 0, 0, 181, 0, 759, 1755, 5956
728, 2577, 0, 0, 2146, 0, 540, 1665, 6930
729, 2819, 0, 0, 1837, 0, 764, 1745, 7166
