FrameID, Prepare, Placement, Opacity, Upload, Render, Total
582, 883, 130, 35, 278, 8778, 10107
583, 965, 134, 45, 76, 8883, 10104
584, 913, 133, 36, 207, 8873, 10163
585, 921, 131, 36, 204, 8846, 10140
586, 946, 130, 37, 214, 9012, 10340
587, 911, 131, 65, 209, 9199, 10516
588, 790, 300, 13, 85, 9374, 10564
589, 920, 130, 41, 266, 8800, 10158
590, 915, 152, 16, 199, 8804, 10088
591, 880, 6759, 1666, 471, 9492, 19269
592, 821, 104, 35, 167, 8735, 9864
593, 905, 129, 36, 289, 8785, 10145
594, 926, 129, 36, 222, 9125, 10440
595, 1096, 128, 11, 143, 8855, 10235
596, 1270, 143, 10, 148, 9125, 10698
597, 931, 133, 36, 278, 8819, 10199
598, 832, 200, 12, 173, 9268, 10487
599, 881, 147, 10, 89, 9467, 10596
600, 840, 126, 11, 143, 9126, 10247
601, 1010, 126, 21, 90, 8826, 10074
602, 900, 128, 11, 103, 8914, 10057
603, 894, 125, 11, 142, 8960, 10135
604, 879, 125, 11, 77, 8929, 10022
605, 1141, 114, 11, 72, 8868, 10208
606, 874, 123, 11, 149, 9642, 10801
607, 759, 123, 9, 83, 8935, 9911
608, 774, 113, 9, 87, 9297, 10282
609, 937, 6708, 1785, 444, 9364, 19239
610, 812, 102, 19, 58, 8680, 9674
611, 907, 131, 11, 87, 9228, 10366
612, 953, 129, 11, 75, 9067, 10236
613, 978, 135, 21, 76, 9437, 10648
614, 911, 137, 11, 86, 9138, 10285
615, 849, 124, 11, 80, 9148, 10214
616, 902, 127, 11, 75, 9254, 10370
617, 890, 125, 11, 105, 9180, 10313
618, 1153, 111, 11, 71, 9387, 10735
619, 922, 192, 2029, 308, 8319, 11773
620, 888, 115, 10, 82, 8016, 9112
621, 823, 136, 10, 82, 9108, 10161
622, 804, 111, 11, 73, 7945, 8946
623, 831, 120, 9, 95, 7940, 8998
624, 805, 116, 11, 70, 8201, 9206
625, 772, 123, 16, 79, 8065, 9056
626, 851, 111, 11, 93, 8010, 9079
627, 820, 105, 11, 127, 8031, 9096
628, 768, 9030, 2042, 297, 9860, 21999
629, 702, 88, 11, 48, 7893, 8744
630, 899, 118, 11, 76, 8203, 9308
631, 1135, 135, 11, 54, 7851, 9187
632, 753, 113, 11, 73, 7990, 8940
633, 820, 120, 11, 77, 8045, 9075
634, 862, 131, 10, 73, 8329, 9407
635, 807, 159, 14, 113, 7851, 8947
636, 718, 175, 13, 73, 8034, 9015
637, 728, 161, 12, 111, 7773, 8788
638, 850, 118, 11, 128, 7838, 8947
639, 846, 107, 11, 93, 7764, 8822
640, 848, 116, 11, 75, 7835, 8887
641, 791, 112, 21, 71, 7873, 8869
642, 804, 112, 9, 76, 7854, 8858
643, 838, 115, 11, 82, 7769, 8817
644, 1152, 100, 11, 52, 7610, 8927
645, 846, 115, 11, 69, 7791, 8834
646, 865, 112, 11, 68, 7898, 8955
647, 1030, 6242, 1496, 366, 7685, 16821
648, 1007, 107, 10, 53, 7542, 8720
649, 948, 120, 11, 70, 7638, 8789
650, 829, 115, 11, 200, 7815, 8972
651, 788, 121, 11, 111, 7688, 8721
652, 960, 112, 11, 69, 7780, 8933
