FrameID, Prepare, Placement, Opacity, Upload, Render, Total
612, 914, 0, 0, 143, 6081, 7139
613, 1304, 0, 0, 107, 5689, 7101
614, 958, 0, 0, 152, 5825, 6936
615, 994, 0, 0, 164, 5982, 7141
616, 971, 0, 0, 165, 6163, 7300
617, 918, 0, 0, 135, 6311, 7365
618, 1206, 0, 0, 120, 5719, 7046
619, 1288, 0, 0, 106, 5469, 6864
620, 987, 0, 0, 141, 6017, 7145
621, 896, 0, 0, 131, 5645, 6673
622, 1122, 0, 0, 158, 7607, 8887
623, 958, 0, 0, 148, 6153, 7260
624, 937, 0, 0, 146, 5979, 7063
625, 920, 0, 0, 260, 5712, 6893
626, 810, 0, 0, 127, 6109, 7047
627, 929, 0, 0, 157, 5997, 7084
628, 985, 0, 0, 152, 6185, 7323
629, 2287, 0, 0, 994, 5592, 8874
630, 832, 0, 0, 173, 5854, 6859
631, 1330, 0, 0, 184, 7448, 8963
632, 898, 0, 0, 148, 6174, 7221
633, 950, 0, 0, 200, 6219, 7371
634, 2404, 0, 0, 1494, 6671, 10569
635, 2456, 0, 0, 1183, 5979, 9619
636, 846, 0, 0, 179, 5684, 6710
637, 1108, 0, 0, 163, 7654, 8926
638, 860, 0, 0, 208, 6266, 7334
639, 1233, 0, 0, 139, 5961, 7334
640, 1090, 0, 0, 160, 7956, 9207
641, 870, 0, 0, 178, 6692, 7740
642, 763, 0, 0, 141, 5510, 6415
643, 1152, 0, 0, 171, 7591, 8915
644, 1379, 0, 0, 171, 5912, 7463
645, 819, 0, 0, 328, 5397, 6544
646, 1219, 0, 0, 160, 6460, 7840
647, 664, 0, 0, 178, 5683, 6527
648, 772, 0, 0, 117, 5536, 6426
649, 1116, 0, 0, 198, 7395, 8709
650, 867, 0, 0, 158, 6176, 7202
651, 990, 0, 0, 142, 6935, 8068
652, 982, 0, 0, 167, 6389, 7539
653, 905, 0, 0, 138, 6180, 7224
654, 961, 0, 0, 149, 6187, 7298
655, 907, 0, 0, 138, 6043, 7089
656, 1155, 0, 0, 145, 7673, 8975
657, 1848, 0, 0, 201, 7553, 9602
658, 1272, 0, 0, 202, 7914, 9390
659, 1107, 0, 0, 157, 6598, 7863
660, 878, 0, 0, 171, 6542, 7592
661, 860, 0, 0, 154, 6124, 7138
662, 1039, 0, 0, 167, 5959, 7166
663, 745, 0, 0, 124, 5592, 6463
664, 703, 0, 0, 116, 5311, 6132
665, 855, 0, 0, 158, 5521, 6534
666, 964, 0, 0, 150, 7134, 8249
667, 2746, 0, 0, 1923, 7582, 12251
668, 739, 0, 0, 379, 5626, 6745
669, 1112, 0, 0, 238, 5606, 6957
